Nome,Detalhes,URL,Valor
Pousada em Machado,"JC PALACE HOTEL, 18 camas, 19 – 24 de jul., ",www.airbnb.com.br/rooms/40755974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1689693243_isUafwU%2FImtVhkWS&previous_page_section_name=1000,R$112 por noite
Quarto em Jardim Boa Vista,"Hospede-se com Raphael,  · Anfitriã(o) há 4 anos, Quarto em Machado (Centro), 18 – 23 de jul., ",www.airbnb.com.br/rooms/638924710659592827?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1689693243_H8sgl7KlWkoXBbsy&previous_page_section_name=1000,", "
Quarto em Machado,"Hospede-se com Elker, Chalé Village Jângal 1, 27 de jul. – 1 de ago., ",www.airbnb.com.br/rooms/683371260967751579?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-01&source_impression_id=p3_1689693243_76Y3tPC2T5lgw7e3&previous_page_section_name=1000,R$651 por noite
Quarto em Jardim Boa Vista,"Hospede-se com Raphael,  · Anfitriã(o) há 4 anos, Centro de Machado/MG - Pousada Familiar, 18 – 23 de jul., ",www.airbnb.com.br/rooms/638944865519766295?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1689693243_bM8UaMbJz%2FtVQS%2Fq&previous_page_section_name=1000,", "
Casa de campo em Machado,"Casa de Campo, 9 camas, 25 – 30 de jul., ",www.airbnb.com.br/rooms/24179718?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-30&source_impression_id=p3_1689693243_fUIwgUhugNVsLH5o&previous_page_section_name=1000,R$456 por noite
Apartamento em Vila Formosa,"AP Cobertura Completo/Centro Com Vista Incrível, 3 camas, 22 – 27 de jul., ",www.airbnb.com.br/rooms/47007758?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1689693243_2WrVW3uW6TidO5JT&previous_page_section_name=1000,R$181 por noite
Casa em Alfenas,"Casa Grande, 10 camas, 6 – 11 de ago., ",www.airbnb.com.br/rooms/936852839915935250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1689693243_OT%2FA9z4jwND1Om0T&previous_page_section_name=1000,R$417 por noite
Casa em Alfenas,"Casa Represa Furnas c/ Piscina Aquecida, 2 camas, 18 – 25 de jul., ",www.airbnb.com.br/rooms/898909640509579933?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-25&source_impression_id=p3_1689693243_3MSYDqCs7gae6IJ%2F&previous_page_section_name=1000,"R$365 por noite, originalmente R$449"
Casa em Vila Teixeira,"Espaço Comastri, 9 camas, 19 – 24 de jul., ",www.airbnb.com.br/rooms/595600556465237201?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1689693243_1GXUZYj7H49E5BHg&previous_page_section_name=1000,R$551 por noite
Casa em Poço Fundo,"Sítio São Francisco Poço Fundo, 6 camas, 19 – 24 de jul., ",www.airbnb.com.br/rooms/900257700972202555?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1689693243_fV9lmvu2kBZMYQa5&previous_page_section_name=1000,"R$365 por noite, originalmente R$445"
