Nome,Detalhes,URL,Valor
Casa em São Tiago,"Casa agradável no centro e estacionamento incluído, 2 camas, 19 – 24 de jul., ",www.airbnb.com.br/rooms/741111248113394558?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1689693290_9V%2FW74QtEernoSFn&previous_page_section_name=1000,R$172 por noite
Casa de campo em Ritápolis,"CASA NA ROÇA, TRILHA E EXPERIÊNCIA NO SÍTIO DUTRA, 5 camas, 18 – 23 de jul., ",www.airbnb.com.br/rooms/46877820?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1689693290_3AZTgzHsavqINSM4&previous_page_section_name=1000,R$169 por noite
Hotel-fazenda em Tiradentes,"Sky Window das Coisa - Única - Descubra..., 3 camas, 31 de jul. – 6 de ago., ",www.airbnb.com.br/rooms/54054084?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-06&source_impression_id=p3_1689693290_yJKNQQoaWjsvS905&previous_page_section_name=1000,R$583 por noite
Apartamento em São João Del Rei,"Espaço com ofurô, cama king e vista para a serra, 3 camas, 30 de jul. – 4 de ago., ",www.airbnb.com.br/rooms/602311920771433457?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1689693290_snmyik73xk7ugkK%2B&previous_page_section_name=1000,R$357 por noite
Lugar para ficar em São Jõao del Rei,"Refugio Ecológico na Serra São José, 1 cama de casal, 1 – 6 de ago., ",www.airbnb.com.br/rooms/24993241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1689693290_rHaaOnMB705wLX1z&previous_page_section_name=1000,R$345 por noite
Chalé em Tiradentes,"Loft II: No centro histórico c/ hidro, 1 cama, 30 de jul. – 4 de ago., ",www.airbnb.com.br/rooms/894939819504509678?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1689693290_mnyRP8tBwCXuTcXA&previous_page_section_name=1000,R$635 por noite
Casa de hóspedes em Tiradentes,"Casa Catarina! seu Chalet Privado em Tiradentes!, 3 camas, 7 – 12 de ago., ",www.airbnb.com.br/rooms/676771100395906552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1689693290_XBgOEPRFeteTChkC&previous_page_section_name=1000,R$548 por noite
Casa de campo em São Tiago,"Disponível, 8 camas, 18 – 24 de jul., ",www.airbnb.com.br/rooms/46600270?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-24&source_impression_id=p3_1689693290_crca7PU6MDBXek0d&previous_page_section_name=1000,R$434 por noite
Hotel-fazenda em Tiradentes,"Sky Window 1 Única no mundo. Vai ousar descobrir?, 4 camas, 9 – 14 de ago., ",www.airbnb.com.br/rooms/40895808?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1689693290_ak%2FmE84LaEO5Q6Qm&previous_page_section_name=1000,R$386 por noite
Microcasa em Tiradentes,"Espaço para dois em Tiradentes 
Aconchego de Maria, 1 cama, 29 de jul. – 3 de ago., ",www.airbnb.com.br/rooms/665270948297714985?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1689693290_gO5UJ4qmYx1%2BBjbA&previous_page_section_name=1000,R$155 por noite
Microcasa em Tiradentes,"Loft encantador próx. ao centro de Tiradentes (1), 2 camas, 29 de jul. – 3 de ago., ",www.airbnb.com.br/rooms/663913072945033730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1689693290_LFwSkdzNv3785Jdm&previous_page_section_name=1000,R$338 por noite
Hotel-fazenda em São João del Rei,"Fazenda Venda Nova, Minas Gerais, 6 camas, 21 – 26 de jul., ",www.airbnb.com.br/rooms/810008955517507623?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1689693291_RDg9fzsAvHf6N8%2BH&previous_page_section_name=1000,R$177 por noite
Hotel-fazenda em BR,"Farmless Home Tiradentes, 3 camas, 30 de jul. – 4 de ago., ",www.airbnb.com.br/rooms/18516385?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1689693291_FTF3ek1wvThbjcaB&previous_page_section_name=1000,R$106 por noite
Casa em Prados Vitoriano Veloso,"Casa no Bichinho - Natureza e simplicidade, 4 camas, 20 – 25 de jul., ",www.airbnb.com.br/rooms/32841659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1689693291_HjDmUVRknPDtp%2FPm&previous_page_section_name=1000,R$184 por noite
Condomínio em Ritapolis,"Refúgio em região histórica MG em meio à natureza, 3 camas, 28 de ago. – 2 de set., ",www.airbnb.com.br/rooms/556411440140616307?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1689693291_icizt1%2FcQAshA%2F6i&previous_page_section_name=1000,R$184 por noite
Casa em Bichinho,"casa com vista linda para a serra 
@casadaionete, 3 camas, 31 de jul. – 5 de ago., ",www.airbnb.com.br/rooms/53723539?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-05&source_impression_id=p3_1689693291_4xQdoDll2qFKa3OC&previous_page_section_name=1000,R$234 por noite
Casa em Tiradentes,"Vila das Ânforas, Chalé em Tiradentes, 1 cama, 30 de jul. – 4 de ago., ",www.airbnb.com.br/rooms/815861311875628828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1689693291_4KrfRWEZFTIAnHEg&previous_page_section_name=1000,R$143 por noite
Casa em São João Del Rei,"Casa de uso familiar com jacuzzi, piscina e sauna., 9 camas, 30 de jul. – 4 de ago., ",www.airbnb.com.br/rooms/16845507?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1689693291_PCA1LzvYZ0QWakAV&previous_page_section_name=1000,R$520 por noite
